frame,method,threshold,TP,FP,FN,F1,n_gt
786,λ = 0.1 (T=1),40.000000,16,1,10,0.744186,26
852,λ = 0.1 (T=1),40.000000,16,3,10,0.711111,26
872,λ = 0.1 (T=1),40.000000,15,1,11,0.714286,26
873,λ = 0.1 (T=1),40.000000,14,6,15,0.571429,29
875,λ = 0.1 (T=1),40.000000,17,4,9,0.723404,26
876,λ = 0.1 (T=1),40.000000,19,2,7,0.808511,26
111,λ = 0.1 (T=3),40.000000,20,0,6,0.869565,26
145,λ = 0.1 (T=3),40.000000,20,4,6,0.800000,26
464,λ = 0.1 (T=3),40.000000,16,0,10,0.761905,26
712,λ = 0.1 (T=3),40.000000,17,3,10,0.723404,27
724,λ = 0.1 (T=3),40.000000,17,1,11,0.739130,28
725,λ = 0.1 (T=3),40.000000,20,1,7,0.833333,27
726,λ = 0.1 (T=3),40.000000,15,1,12,0.697674,27
727,λ = 0.1 (T=3),40.000000,17,2,10,0.739130,27
728,λ = 0.1 (T=3),40.000000,17,2,10,0.739130,27
738,λ = 0.1 (T=3),40.000000,16,1,10,0.744186,26
739,λ = 0.1 (T=3),40.000000,15,2,11,0.697674,26
740,λ = 0.1 (T=3),40.000000,20,2,6,0.833333,26
741,λ = 0.1 (T=3),40.000000,19,0,9,0.808511,28
742,λ = 0.1 (T=3),40.000000,15,2,11,0.697674,26
743,λ = 0.1 (T=3),40.000000,18,4,8,0.750000,26
744,λ = 0.1 (T=3),40.000000,19,1,7,0.826087,26
748,λ = 0.1 (T=3),40.000000,14,3,12,0.651163,26
750,λ = 0.1 (T=3),40.000000,18,0,10,0.782609,28
751,λ = 0.1 (T=3),40.000000,15,1,12,0.697674,27
753,λ = 0.1 (T=3),40.000000,12,1,14,0.615385,26
758,λ = 0.1 (T=3),40.000000,15,2,12,0.681818,27
759,λ = 0.1 (T=3),40.000000,14,1,13,0.666667,27
760,λ = 0.1 (T=3),40.000000,19,1,8,0.808511,27
761,λ = 0.1 (T=3),40.000000,16,2,11,0.711111,27
762,λ = 0.1 (T=3),40.000000,18,2,10,0.750000,28
763,λ = 0.1 (T=3),40.000000,20,2,6,0.833333,26
764,λ = 0.1 (T=3),40.000000,16,2,11,0.711111,27
765,λ = 0.1 (T=3),40.000000,16,5,10,0.680851,26
768,λ = 0.1 (T=3),40.000000,19,2,7,0.808511,26
771,λ = 0.1 (T=3),40.000000,15,3,14,0.638298,29
772,λ = 0.1 (T=3),40.000000,14,1,13,0.666667,27
773,λ = 0.1 (T=3),40.000000,21,1,6,0.857143,27
776,λ = 0.1 (T=3),40.000000,11,3,15,0.550000,26
777,λ = 0.1 (T=3),40.000000,16,2,12,0.695652,28
778,λ = 0.1 (T=3),40.000000,18,5,10,0.705882,28
781,λ = 0.1 (T=3),40.000000,20,0,6,0.869565,26
782,λ = 0.1 (T=3),40.000000,17,2,11,0.723404,28
783,λ = 0.1 (T=3),40.000000,18,4,11,0.705882,29
784,λ = 0.1 (T=3),40.000000,17,1,9,0.772727,26
785,λ = 0.1 (T=3),40.000000,21,3,5,0.840000,26
786,λ = 0.1 (T=3),40.000000,17,1,9,0.772727,26
852,λ = 0.1 (T=3),40.000000,16,3,10,0.711111,26
872,λ = 0.1 (T=3),40.000000,15,0,11,0.731707,26
873,λ = 0.1 (T=3),40.000000,14,5,15,0.583333,29
875,λ = 0.1 (T=3),40.000000,17,3,9,0.739130,26
876,λ = 0.1 (T=3),40.000000,19,2,7,0.808511,26
111,λ = RL,32.400000,23,2,3,0.901961,26
145,λ = RL,32.400000,22,3,4,0.862745,26
464,λ = RL,32.400000,19,1,7,0.826087,26
712,λ = RL,32.400000,19,4,8,0.760000,27
724,λ = RL,32.400000,20,2,8,0.800000,28
725,λ = RL,32.400000,22,2,5,0.862745,27
726,λ = RL,32.400000,17,2,10,0.739130,27
